tweet_id,content,label
tweet_172,"omg, the concert was awesome, madrigals gave me chills on almost every piece...brooks also called up alumni, but i didnt get to go",9
tweet_173,Up late with nothin 2 do.....,1
tweet_174,i am doing homework it sux big time maths is the worst!!!!!!,4
tweet_175,#3wordsaftersex it never started...,3
tweet_176,sometimes i wish things could go back to the way they were the beginning of last summer,1
tweet_177,"I downloaded the new twitterfon update thinking they were fixing the typing problem for new tweets, but no, they didn't",4
tweet_178,@tarng Trudy's off Burnet...the one up north that no one goes to,0
tweet_179,"@kateisbored I feel the same way, but I guess no matter where you are there will always be memes.",1
tweet_180,"I Can`t do 30 minutes of Treadmill  but done 30 minutes for today already, gonna do 20 minutes more",9
tweet_181,"With friends like VaikO,Nedumaran, LTTE didn't need enemies. Wrong advice at wrong time led to numerous deaths &amp; a lost cause as well",3
tweet_182,"Work day 7 of 7,",4
tweet_183,Chillin with the roomies. Can't wait for the zombie CLWN CR. Its gonna be 6-8 weeks,9
tweet_184,"@SuperJerry No refunds but they do retrieve accounts, takes like a week. Just hoping the thief doesn't use hacks or then it's permaban",4
tweet_185,@mysticnz no im not  cries LOL,3
tweet_186,"@Gurlstrange EpiCentre Wheelock Place, 250 units &amp; for tourists only. Starting today",5
tweet_187,I hate the new mt dew commercial..the one with a giant mosquito..it scares me and grosses me out all at the same time.,8
tweet_188,Come on Knight... It's been well over 4 hours,3
tweet_189,not super keen on the drive home through the rain.. additional concentration required that i don't really wanna deal with,4
tweet_190,@FoxxFiles aw u can't let me in on the secret!,5
tweet_191,"@freshypanda Im sorry  I don't think I stick out, at least compared to what I used to look like.",5
tweet_192,"no transport for church  wont be making it, im crushed. Oh well, more time for assignments I suppose. My throat really hurts ...",4
tweet_193,Lies...lies...lies....you just cant avoid to lie about practically...EVERYTHING!,8
tweet_194,twittascope is NOT rocking my socks - go away already!!,3
tweet_195,Driving Back home because I forgot the piece of cake for @v_era,3
tweet_196,@seemouserun so I tried jumping without the trampoline and its like thud* thud*  shouldn't have eaten that cookie.  http://myloc.me/1XIz,4
tweet_197,"Everytime I send an email to my coach, I feel a need to practice.   shitty balls.  Lol",1
tweet_198,It's pissing me off and not letting me follow ericka,1
tweet_199,my mums trying to make me feel ebtter about stopping voting adn not winning shortstack. i almost cried.,1
tweet_200,@msz_rockstar umm how bout em?..aint get 2 see da game  but i see dey survived anotha game of da series due to notin but Lebron im guessin,0
tweet_201,I have forgot the live with the Jonas Brothers on Facebook,4
tweet_202,I haven't seen Muffin in two whole days!,1
tweet_203,@YumiFujii i'll miss y'all back... give @LesleyBoudy my regards...,1
tweet_204,my gap year is going so quick,5
tweet_205,"I have to admit, I'm a bit bummed out that I wasn't with my friends walking today....",4
tweet_206,@jennyvokals girl a blunt is soooooooo in my thoughts right now. I had an absolutly GREAT day with a few stressors...come home,3
tweet_207,my twitter has been hacked again,4
tweet_208,Just found mj mouse flats at DJs. Of course there are none left in my size,1
tweet_209,@passingcarss i wont have time to buy  and i need a new binder pa,3
tweet_210,@lanacaitlin  hahaha well its try its so ugly,8
tweet_211,"@jmoriarty I don't even want to know WHY you know about VHEMT, but don't go - we'd miss you",4
tweet_212,@OooChelcyooO That's awesome! We have that this weekend too but I can't go because I'm moving this Sat.  I should be a lot of fun though,7
tweet_213,night night twitter world. [still cant believe the thomas thing  tomorrow's gunna be FUN/SAD],3
tweet_214,@princess_oats this is happening to me too,3
tweet_215,@qi_tah oh no.  *hugs*,5
tweet_216,"@oxygen8705 bored now because i was talking to someone but now they're busy with something else  just kinda a bummer, idk",3
tweet_217,@xoshayzers i knoww  things won't be the samee &lt;/3,1
tweet_218,@vinylvickxen i kno i doooo!!!!!!!!!! yall partyin with out me,9
tweet_219,"Okay, so twitter suddenly changed, how do I respond to messages now",4
tweet_220,ugh.. my dad just told me to read an article about Kavya Shivashankar the spellin bee girl..and be more like her.,3
tweet_221,Going to sleep. Gonna fall asleep playing apps again. Tmrw is going to suck,1
tweet_222,@ThaBillCollecta  YEA     I GOTTA BE UP AT 7:30,3
tweet_223,I hate when my bf beats da dogs. But I guess that the only way to teach these pitts.,8
tweet_224,I can't believe the Metal Gear Solid song was stolen    I'm so disappointed  http://bit.ly/YKkSu,1
tweet_225,think i may have broke a toe at the bar tonight......thanks drunk girl for steppin all over me!!!!!,8
tweet_226,"Not one sale done today at work. Explored balconies in the big theater w coworkers. A fun day, but void of chili fries and tips",3
tweet_227,@sillybabyjulie me too,3
tweet_228,@digenis that story reminds of living in Portugal,3
tweet_229,"@jhicks  youre diabetic?   so is my dad.  &amp; i might be too, not sure.  are you still allowed to eat sugar throughout the day?",3
tweet_230,I spilled my beer all over my leg. Wasted half my beer.  Home now. I met a cute girl. Good conversation.,9
tweet_231,my roommate @tess_tickle loves to ignore me,8
tweet_232,@SuperFiasco  I'll make him nachos tomorrow. Better than if he would have made them himself.,3
tweet_233,@MyDailyRoutine yeahhh. &amp;dont judge my pillow,3
tweet_234,"Scary lightning and thunder  I'm glad it's over now. Going to sleep, I hope I'm not late to school tomorow again. Haha",11
tweet_235,my teeth and head hurts,1
tweet_236,I HATE rob zombie movies. &amp; the smell of weed. Vommmm.,1
tweet_237,"@jcwentz Maths and Science were the strongest for me i think..dunno bout geography, only did like 1 day of study for 1/2 a year of work!",8
tweet_238,Waiting in line @ tryst,10
tweet_239,just got home! not wanting to read the last chaper of breaking dawn cause i dont want it to beover,4
tweet_240,I need to be held...  Gnite.,4
tweet_241,"Hanging out with sam, billy, and veronica. not going to school tomorrow to take sam to body shops. Dang car accidents",4
tweet_242,no more arrested development. i am sad.,1
tweet_243,omg i keep losing followers this is so sad  i want 90 one day....thats my goal ;D,1
tweet_244,I feel so deflated. No more doggy.,1
tweet_245,@blood_rain i wanna see her hair  hows everyone?,4
tweet_246,"I just had to empty my trash on the mac. that was one of THE MOST DIFFICULT things I have ever done in my life. 8,000 pictures are GONE.",1
tweet_247,Aww...  Pray for the arroyo family everyone!,4
tweet_248,@the_babsi there's a manual process... but it's taking 4ever on my outlook database... pffff. crappy msft product,3
tweet_249,@wuzzyangel You never answered your DM I sent you....   I need your info...,4
tweet_250,Am trying to get through the pilot of the first season of friday night lights. Oh gosh  Pass the tissue...,4
tweet_251,@Mona26 Aw where are you headed to? i just cancelled my trip to Aussie,1
tweet_252,0,0
tweet_253,OH NEVERMIND I THINK THIS THING IS UNSALVAGEABLE,3
tweet_254,"lyin in bed, up faaaaar too early",3
tweet_255,Sad that Christian Lacroix had to file bankruptcy,1
tweet_256,I dont feel good AT ALL. fuckkk,1
tweet_257,why did i agree to work a double shift,10
tweet_258,@djvinceadams Ohh poor girl  I'll email her... I am relying on you being here in October Mr!!,4
tweet_259,When will Medhurst play again?,3
tweet_260,aarrgghh - fu*k.....a hose has leaked water all over the new floating floor,8
tweet_261,Have to go to the dreaded DMV tomorrow,1
tweet_262,@duncm I'm a bit Ben's Thai-ed out,3
tweet_263,english class! working on interactive orals,9
tweet_264,@SharonHayes Thank you for the rec but that doesn't work,4
tweet_265,My puppy Gizmo h8s me..  haha. He still growls @ me.  I always look back @ my long pruple scar on my fingie,4
tweet_266,I don't know how ima work out tomorrow wit my body dis sore  ugh,4
tweet_267,in 7-11  w/o you,3
tweet_268,"@becjee Yeah, plus it's just a little too far to walk to Pinocchio's for sushi",3
tweet_269,Taylor Swift and Joe Jonas looked really good together. I'm kinda sad they broke up.,1
tweet_270,"Lady across the way had a miscarriage, say a prayer",4
tweet_271,God I just want to sleep.,1
tweet_272,@ksutt11 ohhhh thunderstorms...boo  why do they always have to make the power go out??,8
tweet_273,I feel so deflated. No more doggy.,4
tweet_274,Found my book. Starting a real paper-bound journal tonight. Have an annoying zit above my lip. Makes me look like I have herpes,1
tweet_275,"RATT ROCKED NASHVILLE TONITE..ONE THING SUCKED, NO ENCORE!  LIKE IN THE 80'S THEY STILL HAVE A FUN SHOW. PEARCY HAS THAT HOTT BAD BOY LOOK",8
tweet_276,is feeling bad  just got bad news about my Mum,4
tweet_277,@RealBlackWidow But but I dun wanna,1
tweet_278,"@JustinOdom dbl booooooo for being sick, flippin blows! ... bahaha i kno i dont have many friends on here either. i feel so lame  haha",1
tweet_279,@brettyrocks thats what i was thinking but the only time it's gonna be on is 1 am!,3
tweet_280,don't feel like working  I think I tweet this too often!,4
tweet_281,feels sick to my stomach and idkk whyy,1
tweet_282,@justintevya - dude i just saw your SF pics. looks like your mini excursion was pretty kick ass! didn't see any sun while i was there tho,5
tweet_283,is home.  safely... but hungry,11
tweet_284,"@hello_jodie Um, I was thrown from @JareWolf's van yesterday and had to be taken to the ER",1
tweet_285,"got to final table, but....went out third.  Don't think I'll be getting my free seat",4
tweet_286,I have to work in the morning while my friends get to party it up.....stupid bberry lite flashing red and I have no messages!,8
tweet_287,FB is boring   and i wanna sing RIGHT NOW..! *-*,9
tweet_288,@judyrey  The link doesn't work,1
tweet_289,@Deedubau hahaha I don't know anyone or anything about it except they have powers lol... I live in my own bubble,3
tweet_290,The humpalow um ya I think so... Cell is dying,4
tweet_291,"love is like a war,,easy to begin, hard to end..fiuuhh...",3
tweet_292,@heavenjones ur supposed to be in BK tho,5
tweet_293,@cosmiclagoon Did you know that there is a shortage of shells for crabs to use on the beach due to beach combers? It is very sad,4
tweet_294,Oh no!  Nighty night.,5
tweet_295,@celldweller Must... have... new music... I won't sleep until you give us Chapter 1... I might die first though...  Hurry!,9
tweet_296,my stupid tooooth hurts,1
tweet_297,It's a sad economy. Just heard of another friend losing their job.  so sad. But just a reminder that...,4
tweet_298,@all_is_one84 Those suck so bad.,8
tweet_299,"I'm back. top molar extracted  swollen face, all numb.  But no more toothache or sinus pain.",4
tweet_300,does anyone know any good rap songs? i need to make a rap/fun cd and i have no idea  helllllpppp,4
tweet_301,@exortabreedoll what happen to the maids of yours? Quit once again? ...,0
tweet_302,I'm awake. Anybody else awake? Wish I lived in the US since all the fun happens when I'm asleep!,1
tweet_303,At Charle's with the power out. LOL! Damn SaveMart lost power and we could not buy beer.,8
tweet_304,my mobile phone refuses to charge!!  either the battery is broken or the chargerrr ( booooo,4
tweet_305,@Kirsten613 oh how i wish you would get her to sign something then send it to me or let me call you when you meet or something,4
tweet_306,"@kimberly625 hmmm, I thought u were sleeping!! Too bad I can't see those videos until tomorrow night.",4
tweet_307,"Morning everyone sorry for going early last night had bad news, felt totally crap   Today is a new day",1
tweet_308,"how I wish my parents put me into a Chinese school when I was younger. Then, it'll be so much easier for me to get a job...",1
tweet_309,"@AnthonyLucas @iainfunnell Yeah, physically moving too!  Apparently we'll be reporting directly to Mr. Hayward...",11
tweet_310,@nayRyelgiuQ airport? and you didnt show up tonight homo!,3
tweet_311,@charloro jealous  it looks like schindler's list in toronto,4
tweet_312,I want another tatt,2
tweet_313,@avalonabsinthe what?! Come as you are!!! But erock just left  bah D:,3
tweet_314,"So, I need to make a lot of money tomorrow",2
tweet_315,"Nearly fell asleep, but was jolted out of bed by a massive panic attack and now I'm not sure if I can sleep at all.",4
tweet_316,for the gays i only made 200 tonight,3
tweet_317,"if one people did any wrong, the world blames all the people over there, this is the great world which we are living in!  Shit!",1
tweet_318,@MandyAlwaysKnws nope.  they are all sleeping cuz they live on the east coast.,5
tweet_319,"@dravenreborn I bet its cool down in SR, huh? It's not here. I haven't stopped sweating since noon when dad and I were packing",3
tweet_320,@meljachin: eww. dislike,1
tweet_321,Tactical mistake: going to the city library and buying milk. Who knew? OUCH OUCH OUCH. Maybe a good thing I didn't try for uni.,4
tweet_322,decided 2 trans frm relaxed 2 natural hair but i wish my whole head looked like my roots.  Age of the instant gratification....,3
tweet_323,"@SuzyDunkley sorry bout the cat,",1
tweet_324,needs to have an increase on her salary  http://plurk.com/p/wxluu,3
tweet_325,my stomach feels like it's touching the ground..i'm SO full,4
tweet_326,missed iron chef,1
tweet_327,@thevowel the DS version sucks,1
tweet_328,what a bad day,1
tweet_329,hates the net. ayaw bumukas ng twitter.  http://plurk.com/p/wxlxs,8
tweet_330,"Ugh, my internet was down!",4
tweet_331,omg i didnt tweet all that much today.... *sadness*,5
tweet_332,is feeling so giddy and wanna go home.,4
tweet_333,the week just wasnt the same without an adam lambert performance!!!,3
tweet_334,@rockingjude The link doesn't work,3
tweet_335,Up and packing. Its the last day of youth camp,4
tweet_336,"GOSSIP GIRL, WHEN ARE YOU COMING BACK  ! chaceeeeeee..",3
tweet_337,Smh @ hiphop nursery rhymes,3
tweet_338,Somebody please save the polar bears!,4
tweet_339,guess im staying home tonight...no movie-ing for me,4
tweet_340,went to the cd store to search for the cd. But,1
tweet_341,@BuzzEdition reminds me of the weather a month ago it was horrible  I hope all is well hugs,4
tweet_342,I miss my mom..  &quot;May angels lead you in&quot;,1
tweet_343,there's really no android twitter app of Tweetie's calibre,6
tweet_344,on jacksonville beach walking in the cold Ass water   but have to work in the morning   ily &lt;('-')&gt;,8
tweet_345,"@taylor_d No, it's not...",3
tweet_346,Can't sleep. Sucks. The one day i have to sleep in and i have to get up and go shopping with mom. Ugh.,1
tweet_347,@crunchmonkey78 well i just got home and its not on till tmw at 530p but with comcast its on right now  but i didnt miss it,3
tweet_348,Sleppytime. Really missing my godfather right now. Love you Wayne,1
tweet_349,So have a headache right now and it sucks,1
tweet_350,"i should be finished.... but i'm not.  color drawing, here i come.",7
tweet_351,"@jwray12 Lakers, baby Lakers!! I'll miss the game tmwr. I have to work  you'll have to keep me posted please",1
tweet_352,"comfort food of the day: pan mee. though, it didnt taste any good..",1
tweet_353,damn being drunk and hot sucks,4
tweet_354,misses my baby.,1
tweet_355,is not sleeping because he has paperwork to do.,4
tweet_356,Showered in ice-cold water. Sweating now. Means one thing: I'm sick,4
tweet_357,"midnight cry.. wish the person I wanted, wanted me right now",4
tweet_358,@mousebudden I'ma need you to follow me real quick cause I can't DM you,3
tweet_359,I'm poorly and can't sleep,1
tweet_360,Went to pole class. Feeling discouraged. I am hopeless when it cones to dancing or sexy moves or spreading my legs.,4
tweet_361,"@RoasterBoy And these poor, unfortunate souls don't appear to have any pants at all...  ? http://blip.fm/~78qvz",4
tweet_362,@damohopo @StephanieEllen If I told you how often I wash my hair you would never speak to me again,4
tweet_363,"Looks like another sleepless night dedicated to homework. Sorry in advance, Ms. Chapman.",4
tweet_364,@jessicaduncan http://twitpic.com/662vk -  WHY DO U LOT MOCK ME!!!,4
tweet_365,didnt say goodnight to you,4
tweet_366,@abguerraartist  I am not a pussy! damnit!  [sending you an e-mail right now btw],8
tweet_367,has work tom.,1
tweet_368,In the Hongkong International Airport. Has to wait for 3-4 hours for our next flight to Cebu.,3
